,life_expect,Electric_consumption,gdp_per_capita,internet_usage,open_defecation,drinking_water_services,adult_obesity,cluster
135,1.121055406270221,0.9761785209591615,1.1774222060677797,1.5743598985048473,-0.5482577306579234,0.7479877714846688,0.30283015627733884,0
136,1.1503686327754368,0.9127694024312918,1.2337194078006672,1.6363060172255495,-0.5482577306579234,0.7479879362714589,0.3637223959596763,0
137,1.1977870895648501,1.0091122290874956,1.3597615773835794,1.7648799802515307,-0.5482577306579234,0.7479879362714589,0.4124361877055465,0
138,1.192326782897855,1.0184528276422704,1.4631735092774694,1.811339598824509,-0.5482577306579234,0.7479879362714589,0.473328427387884,0
139,1.2158923186707717,1.0456704334498474,1.5387331308972256,1.832545558903085,-0.5482577306579234,0.7479879362714589,0.5220422191337538,0
140,1.2575630823713309,1.0370307615091792,1.5840092871695206,1.846124182701241,-0.5482577306579234,0.7479879305891561,0.5829344588160912,0
141,1.2222147787119566,1.0032009117592011,1.6390107302389045,1.9521643039657746,-0.5482577306579234,0.7479877714846688,0.6438266984984287,0
147,0.426849208205152,3.705348377483546,1.240144132288783,-0.8493276440332964,-0.5482577306579234,0.7428782746428307,0.6072913546890261,0
148,0.44982560558374635,3.568199995583661,1.2369079035864534,-0.5293362627671612,-0.5482577306579234,0.7433009351446553,0.6438266984984287,0
149,0.47185938153142293,3.59365683980327,1.228061114166722,-0.4208554042796723,-0.5482577306579234,0.7437235956464799,0.6681835943713635,0
150,0.49271488069045305,3.568606999779177,1.278418138111269,-0.29465012397586676,-0.5482577306579234,0.7441462561483038,0.6925404902442984,0
151,0.5125099307397036,3.515469087389312,1.3466147939525015,-0.29811710706113803,-0.5482577306579234,0.7445689166501284,0.7168973861172337,0
152,0.5312445316791712,3.3412212717223917,1.4098117341152816,-0.3036975519782407,-0.5482577306579234,0.744991577151953,0.7656111778631035,0
153,0.5491543388665878,3.856640392231344,1.4524644990133577,-0.05374428153290172,-0.5482577306579234,0.7454142382220075,0.8143249696089734,0
154,0.5664750076596821,3.8967758099047276,1.5216513359797443,0.1143042863320189,-0.5482577306579234,0.7458368987238321,0.8752172092913107,0
155,0.583560021095046,3.6952517126282203,1.537249141661812,0.8000334144960707,-0.5482577306579234,0.7462595592256567,0.9361094489736482,0
156,0.6004093791726813,3.23299032022051,1.4647109905998508,0.8378493590639411,-0.5482577306579234,0.7466822197274813,1.0091801365924533,0
157,0.6173765649291818,3.006071133694789,1.4848782306363915,0.9098797296694087,-0.5482577306579234,0.7471048802293059,1.0700723762747908,0
158,0.6342259230068171,3.1333614862891808,1.5106413992593828,1.7022125998208446,-0.5482577306579234,0.7475275412993604,1.143143063893596,0
159,0.6509574534055873,3.105713244834751,1.680781588891998,2.098380844659624,-0.5482577306579234,0.747950201801185,1.2162137515124005,0
160,0.6676889838043575,3.0917852373750985,1.7230205281967825,2.170412645067948,-0.5482577306579234,0.7479877714846688,1.2892844391312057,0
161,0.684184858845399,3.2774386724657814,1.7027760072534068,2.188531660779301,-0.5482577306579234,0.7479877714846688,1.3623551267500105,0
162,0.700445078528712,3.4762908255563283,1.4176963773540339,2.2956828631157387,-0.5482577306579234,0.7479877714846688,1.4476042623052832,0
168,-0.6327751078240346,-0.8137366612138381,-0.8648081316605236,-1.0683969639978061,0.4184187450246325,0.4488872626119428,-1.8405766805409394,1
169,-0.5728008192819622,-0.8120991405948337,-0.8610777302311619,-1.0662804037435678,0.36126754630451297,0.45844189903093835,-1.8283982326044719,1
170,-0.5169504995001498,-0.8097810151206514,-0.8585099330101645,-1.0659162068450032,0.30338105276934174,0.4682942977929021,-1.8162197846680042,2
171,-0.4632210779379017,-0.8080557740588397,-0.8547842412657108,-1.0650533775089959,0.2460339062040359,0.4780636383302825,-1.8040413367315367,2
172,-0.41078776084316176,-0.8066464426271173,-0.8498040769494306,-1.0637871315299634,0.18925195130710193,0.4877443667600172,-1.7918628887950694,2
173,-0.3587079267850173,-0.7987447966815213,-0.8428995348947397,-1.0622528489090033,0.13306546262154673,0.4975039274855116,-1.779684440858602,2
174,-0.30686374808460143,-0.7963755837645695,-0.8352125283398595,-1.0349402766782165,0.07747096947804853,0.507070424575792,-1.7675059929221344,2
175,-0.2556087077785079,-0.7917857422814667,-0.8267554134497801,-1.0061281284360295,0.022492725116729756,0.5164351680847099,-1.7553275449856667,2
